GeneID	Clid	Samples	TimePoint	Value	Type
SPBC216.01c_BM45	1	BM45	D2	0.435275	ODEP
SPBC216.01c_BM45	1	BM45	D5	0.153671	ODEP
SPBC216.01c_BM45	1	BM45	D14	0.233918	ODEP
SPBC21C3.06_BM45	1	BM45	D2	0.286027	ODEP
SPBC21C3.06_BM45	1	BM45	D5	0.142486	ODEP
SPBC21C3.06_BM45	1	BM45	D14	0.258840	ODEP
SPBC23E6.10c_BM45	1	BM45	D2	0.416005	ODEP
SPBC23E6.10c_BM45	1	BM45	D5	0.161786	ODEP
SPBC23E6.10c_BM45	1	BM45	D14	0.269909	ODEP
SPBC26H8.06_BM45	1	BM45	D2	0.534016	ODEP
SPBC26H8.06_BM45	1	BM45	D5	0.151882	ODEP
SPBC26H8.06_BM45	1	BM45	D14	0.273468	ODEP
SPBC2D10.08c_BM45	1	BM45	D2	0.271690	ODEP
SPBC2D10.08c_BM45	1	BM45	D5	0.124479	ODEP
SPBC2D10.08c_BM45	1	BM45	D14	0.221155	ODEP
SPBC530.07c_BM45	1	BM45	D2	0.221645	ODEP
SPBC530.07c_BM45	1	BM45	D5	0.222819	ODEP
SPBC530.07c_BM45	1	BM45	D14	0.248843	ODEP
SPBC609.04_BM45	1	BM45	D2	0.356391	ODEP
SPBC609.04_BM45	1	BM45	D5	0.303079	ODEP
SPBC609.04_BM45	1	BM45	D14	0.320634	ODEP
SPBC660.07_BM45	1	BM45	D2	0.239863	ODEP
SPBC660.07_BM45	1	BM45	D5	0.134238	ODEP
SPBC660.07_BM45	1	BM45	D14	0.168556	ODEP
SPBC800.07c_BM45	1	BM45	D2	0.409704	ODEP
SPBC800.07c_BM45	1	BM45	D5	0.189968	ODEP
SPBC800.07c_BM45	1	BM45	D14	0.340719	ODEP
SPBP16F5.04_BM45	1	BM45	D2	0.299347	ODEP
SPBP16F5.04_BM45	1	BM45	D5	0.181468	ODEP
SPBP16F5.04_BM45	1	BM45	D14	0.245508	ODEP
SPBP23A10.05_BM45	1	BM45	D2	0.332527	ODEP
SPBP23A10.05_BM45	1	BM45	D5	0.209196	ODEP
SPBP23A10.05_BM45	1	BM45	D14	0.184123	ODEP
SPCC1183.09c_BM45	1	BM45	D2	0.193781	ODEP
SPCC1183.09c_BM45	1	BM45	D5	0.317141	ODEP
SPCC1183.09c_BM45	1	BM45	D14	0.200746	ODEP
SPCC16A11.13_BM45	1	BM45	D2	0.296727	ODEP
SPCC16A11.13_BM45	1	BM45	D5	0.183647	ODEP
SPCC16A11.13_BM45	1	BM45	D14	0.156189	ODEP
SPCC16C4.15_BM45	1	BM45	D2	0.447429	ODEP
SPCC16C4.15_BM45	1	BM45	D5	0.130337	ODEP
SPCC16C4.15_BM45	1	BM45	D14	0.138785	ODEP
SPCC31H12.06_BM45	1	BM45	D2	0.178360	ODEP
SPCC31H12.06_BM45	1	BM45	D5	0.204023	ODEP
SPCC31H12.06_BM45	1	BM45	D14	0.246903	ODEP
SPCC417.02_BM45	1	BM45	D2	0.320123	ODEP
SPCC417.02_BM45	1	BM45	D5	0.115108	ODEP
SPCC417.02_BM45	1	BM45	D14	0.073334	ODEP
SPCC63.11_BM45	1	BM45	D2	0.274214	ODEP
SPCC63.11_BM45	1	BM45	D5	0.233273	ODEP
SPCC63.11_BM45	1	BM45	D14	0.140057	ODEP
SPCP31B10.08c_BM45	1	BM45	D2	0.304410	ODEP
SPCP31B10.08c_BM45	1	BM45	D5	0.189484	ODEP
SPCP31B10.08c_BM45	1	BM45	D14	0.138317	ODEP
YOL059W_BM45	1	BM45	D2	0.256977	ODEP
YOL059W_BM45	1	BM45	D5	0.208634	ODEP
YOL059W_BM45	1	BM45	D14	0.098772	ODEP
YOL156W_BM45	1	BM45	D2	0.451521	ODEP
YOL156W_BM45	1	BM45	D5	0.132081	ODEP
YOL156W_BM45	1	BM45	D14	0.149239	ODEP
YPL279C_BM45	1	BM45	D2	0.280083	ODEP
YPL279C_BM45	1	BM45	D5	0.257999	ODEP
YPL279C_BM45	1	BM45	D14	0.166098	ODEP
YPR193C_BM45	1	BM45	D2	0.335779	ODEP
YPR193C_BM45	1	BM45	D5	0.191823	ODEP
YPR193C_BM45	1	BM45	D14	0.048758	ODEP
SPAC19D5.02c_BM45	1	BM45	D2	0.312514	ODEP
SPAC19D5.02c_BM45	1	BM45	D5	0.236005	ODEP
SPAC19D5.02c_BM45	1	BM45	D14	0.067820	ODEP
SPAC7D4.15c_BM45	1	BM45	D2	0.339131	ODEP
SPAC7D4.15c_BM45	1	BM45	D5	0.150212	ODEP
SPAC7D4.15c_BM45	1	BM45	D14	0.113383	ODEP
SPBC18H10.03_BM45	1	BM45	D2	0.192549	ODEP
SPBC18H10.03_BM45	1	BM45	D5	0.194447	ODEP
